carat,cut,color,clarity,depth,table,price,x,y,z,log_price,cut_encoded,color_encoded,clarity_encoded
0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43,5.786897381366708,4,5,1
0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,5.786897381366708,3,5,2
0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,5.7899601708972535,1,5,4
0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,5.811140992976701,3,1,3
0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,5.814130531825066,1,0,1
0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,5.817111159963204,2,0,5
0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,5.817111159963204,2,1,6
0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53,5.820082930352362,2,2,2
0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,5.820082930352362,0,5,3
0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39,5.823045895483019,2,2,4
0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,5.82600010738045,1,0,2
0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,5.8289456176102075,4,0,4
0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,5.834810737062605,3,4,2
0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,5.840641657373398,4,0,1
0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,5.84354441703136,3,5,1
0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,5.84354441703136,3,5,0
0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,5.8522024797744745,4,1,1
0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,5.860786223465865,1,0,2
0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,5.860786223465865,1,0,2
0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66,5.860786223465865,2,0,2
0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,5.860786223465865,1,1,1
0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48,5.863631175598097,2,5,3
0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,5.8664680569332965,2,2,4
0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62,5.8664680569332965,2,0,2
0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59,5.8664680569332965,2,0,2
0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,5.869296913133774,2,3,5
0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,5.872117789475416,3,1,4
0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,5.877735781779639,2,0,3
0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4,5.877735781779639,2,6,3
0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,5.877735781779639,2,4,4
0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41,5.996452088619021,2,4,4
0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,5.996452088619021,2,4,4
0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42,5.996452088619021,2,5,4
0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4,5.996452088619021,2,5,4
0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44,5.996452088619021,2,6,4
0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,5.996452088619021,1,4,4
0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,5.996452088619021,1,5,4
0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,5.996452088619021,1,2,2
0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,5.998936561946683,2,6,3
0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,5.998936561946683,4,1,1
0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,5.998936561946683,4,1,1
0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,5.998936561946683,4,0,2
0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,5.998936561946683,1,6,3
0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,5.998936561946683,1,6,4
0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,5.998936561946683,1,2,1
0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,5.998936561946683,3,4,2
0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,5.998936561946683,2,2,1
0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,5.998936561946683,1,2,1
0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,6.0014148779611505,2,5,3
0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,6.0014148779611505,2,2,1
0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,6.0014148779611505,2,4,2
0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,6.0014148779611505,4,3,4
0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,6.0014148779611505,4,1,2
0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,6.0014148779611505,3,5,3
0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,6.0014148779611505,3,6,3
0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,6.003887067106539,4,1,1
0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,6.003887067106539,3,0,1
0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67,6.003887067106539,2,1,2
0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71,6.003887067106539,2,1,2
0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7,6.003887067106539,1,1,2
0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,6.313548046277095,4,1,4
0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,6.313548046277095,3,6,2
0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,6.313548046277095,4,6,2
0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,6.313548046277095,4,6,2
0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,6.313548046277095,3,1,1
0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,6.315358001522335,4,3,5
0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,6.315358001522335,4,1,6
0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,6.315358001522335,2,3,2
0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,6.315358001522335,3,3,2
0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,6.315358001522335,3,5,6
0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,6.315358001522335,2,6,6
0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,6.317164686747284,2,2,2
0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,6.317164686747284,3,2,2
0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67,6.317164686747284,3,2,2
0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,6.317164686747284,1,2,2
0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,6.317164686747284,2,4,5
0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,6.317164686747284,2,5,5
0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,6.317164686747284,2,6,5
0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,6.317164686747284,2,6,5
0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,6.317164686747284,2,5,6
0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,6.317164686747284,2,5,6
0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,6.317164686747284,2,6,6
0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,6.317164686747284,4,5,5
0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,6.317164686747284,4,1,1
0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,6.317164686747284,1,5,6
0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,6.317164686747284,3,3,6
0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,6.317164686747284,3,2,6
